                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55258,                 2.5044,                 1.1489,                0.61449,                0.52421,                 0.5722,                0.41899,                0.76247,                 2.5452,                 1.5625,             0.00035725,             0.00035725,             0.00035725
                      2,                0.54814,                 1.6454,                  1.124,                0.76674,                0.50864,                0.78421,                0.60194,                0.69506,                 2.2753,                  1.407,             0.00072157,             0.00072157,             0.00072157
                      3,                0.55901,                 1.3906,                 1.1123,                0.63027,                    0.6,                0.62215,                0.42275,                 0.7084,                 2.2532,                 1.5732,              0.0010785,              0.0010785,              0.0010785
                      4,                0.56209,                 1.3378,                 1.1201,                0.43773,                0.66667,                 0.6081,                0.45176,                0.67537,                 2.3236,                  1.265,              0.0013866,              0.0013866,              0.0013866
                      5,                0.58561,                 1.2271,                 1.1236,                0.47484,                 0.7962,                0.65434,                0.49146,                0.95994,                 1.8796,                  1.599,              0.0013724,              0.0013724,              0.0013724
                      6,                0.57618,                 1.1642,                 1.1187,                0.58531,                0.67328,                0.76113,                0.53095,                0.87534,                 3.3609,                 1.5249,              0.0013583,              0.0013583,              0.0013583
                      7,                0.53903,                 1.0465,                  1.082,                0.75264,                0.80553,                0.89593,                0.72367,                0.64886,                 1.2295,                 1.3026,              0.0013441,              0.0013441,              0.0013441
                      8,                0.54734,                0.99812,                  1.072,                0.81096,                  0.741,                0.84886,                0.66893,                0.76859,                 1.7115,                 1.7659,                0.00133,                0.00133,                0.00133
                      9,                0.52615,                0.96373,                 1.0706,                0.86573,                0.74675,                0.95397,                0.61026,                 0.7395,                 1.3624,                 1.6352,              0.0013158,              0.0013158,              0.0013158
                     10,                0.55471,                0.96834,                 1.0847,                0.92743,                0.92961,                0.93806,                0.79913,                0.58081,                  1.087,                 1.2226,              0.0013017,              0.0013017,              0.0013017
